time (s), lifter (1cm), left pedal pos (1cm), left slider pos (1cm), right pedal pos (1cm), right slider pos (1cm), stock left extend pos (1cm), stock left slider pos (1cm), stock right extend pos (10cm), stock right slider pos (1cm), lifter current (A), left pedal current (A), left slider current (A), right pedal current (A), right slider current (A), stock left extend current (A), stock left slider current (A), stock right extend current (A), stock right slider current (A)
14.3,5.795,0,0,0,0,4.402,3.449,11.802,1.021,0,0,0,0,0,0,0,0,0
14.4,4.70025,0,0,0,0,3.846,0.708,13.238,5.276,0,0,0,0,0,0,0,0,0
14.5,3.64075,0,0,0,0,3.33,-1.857,13.699,9.172,0,0,0,0,0,0,0,0,0
14.6,2.882,0,0,0,0,2.892,-3.982,13.612,12.005,0,0,0,0,0,0,0,0,0
14.7,2.40025,0,0,0,0,2.495,-5.944,13.125,14.513,0,0,0,0,0,0,0,0,0
14.8,2.2055,0,0,0,0,2.152,-7.653,12.249,16.407,0,0,0,0,0,0,0,0,0
14.9,2.2,0,0,0,0,1.848,-9.17,10.894,17.782,0,0,0,0,0,0,0,0,0
15,2.19975,0,0,0,0,1.621,-10.307,9.205999,18.522,0,0,0,0,0,0,0,0,0
15.1,2.2,0,0,0,0,1.437,-11.238,7.451,18.698,0,0,0,0,0,0,0,0,0
15.2,2.622,0,0,0,0,1.251,-12.203,7.482,18.668,0,0,0,0,0,0,0,0,0
15.3,3.344,0,0,0,0,1.227,-12.334,7.427,18.501,0,0,0,0,0,0,0,0,0
15.4,4.50575,0,0,0,0,1.201,-12.5,7.038,16.814,0,0,0,0,0,0,0,0,0
15.5,5.37075,0,0,0,0,1.491,-12.444,6.502,14.406,0,0,0,0,0,0,0,0,0
15.6,5.93225,0,0,0,0,4.939,-10.386,5.872,10.966,0,0,0,0,0,0,0,0,0
15.7,6.184,0,0,0,0,8.613,-5.717,5.237,7.603,0,0,0,0,0,0,0,0,0
15.8,6.11675,0,0,0,0,11.36,-0.688,4.62,4.57,0,0,0,0,0,0,0,0,0
15.9,5.10225,0,0,0,0,13.191,4.002,4.001,1.42,0,0,0,0,0,0,0,0,0
16,4.048,0,0,0,0,13.947,7.621,3.521,-0.835,0,0,0,0,0,0,0,0,0
16.1,3.24925,0,0,0,0,13.975,10.917,3.047,-3.196,0,0,0,0,0,0,0,0,0
16.2,2.7375,0,0,0,0,13.618,13.612,2.636,-5.212,0,0,0,0,0,0,0,0,0
16.3,2.51175,0,0,0,0,12.859,15.764,2.264,-7.069,0,0,0,0,0,0,0,0,0
16.4,2.4995,0,0,0,0,11.636,17.42,1.924,-8.807,0,0,0,0,0,0,0,0,0
16.5,2.50025,0,0,0,0,10.129,18.311,1.697,-9.904,0,0,0,0,0,0,0,0,0
16.6,2.49975,0,0,0,0,8.249,18.692,1.494,-10.934,0,0,0,0,0,0,0,0,0
16.7,2.79625,0,0,0,0,7.663,18.686,1.255,-12.19,0,0,0,0,0,0,0,0,0
16.8,2.8,0,0,0,0,0,18.58,1.236,-12.267,0,0,0,0,0,0,0,0,0
16.9,3.143,0,0,0,0,7.425,17.626,1.203,-12.461,0,0,0,0,0,0,0,0,0
17,3.46,0,0,0,0,6.797,14.765,1.472,-12.45,0,0,0,0,0,0,0,0,0
17.1,3.60625,0,0,0,0,6.271,11.919,4.198,-11.023,0,0,0,0,0,0,0,0,0
17.2,3.692,0,0,0,0,5.637,8.526,7.949,-6.692,0,0,0,0,0,0,0,0,0
17.3,3.6965,0,0,0,0,4.992,5.188,11.116,-1.071,0,0,0,0,0,0,0,0,0
17.4,2.92475,0,0,0,0,4.421,2.463,12.872,2.96,0,0,0,0,0,0,0,0,0
17.5,1.81275,0,0,0,0,3.896,-0.176,13.865,6.955,0,0,0,0,0,0,0,0,0
17.6,0.90525,0,0,0,0,3.382,-2.746,13.993,10.619,0,0,0,0,0,0,0,0,0
17.7,0.346,0,0,0,0,2.99,-4.719,13.733,13.241,0,0,0,0,0,0,0,0,0
17.8,0.0425,0,0,0,0,2.615,-6.603,13.064,15.413,0,0,0,0,0,0,0,0,0
17.9,0,0,0,0,0,2.298,-8.218,11.975,17.092,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,2.033,-9.575,10.501,18.154,0,0,0,0,0,0,0,0,0
18.1,-0.00025,0,0,0,0,1.816,-10.698,8.607,18.662,0,0,0,0,0,0,0,0,0
18.2,0.6795,0,0,0,0,1.552,-12.187,7.685,18.637,0,0,0,0,0,0,0,0,0
18.3,0,0,0,0,0,0,0,7.661,18.562,0,0,0,0,0,0,0,0,0
18.4,1.848,0,0,0,0,1.505,-12.424,7.462,17.769,0,0,0,0,0,0,0,0,0
18.5,3.045,0,0,0,0,1.704,-12.486,6.694,14.167,0,0,0,0,0,0,0,0,0
18.6,3.53225,0,0,0,0,3.311,-11.815,6.332,12.191,0,0,0,0,0,0,0,0,0
18.7,3.91325,0,0,0,0,7.255,-8.18,5.655,8.441,0,0,0,0,0,0,0,0,0
18.8,4.0005,0,0,0,0,10.918,-2.223,4.948,4.987,0,0,0,0,0,0,0,0,0
18.9,3.515,0,0,0,0,12.609,1.487,4.493,2.761,0,0,0,0,0,0,0,0,0
19,2.357,0,0,0,0,13.892,5.683,3.944,0.015,0,0,0,0,0,0,0,0,0
